ID,label,tanggal,judul,narasi,nama file gambar
6775,0,25-Oct-17,Sandi Sarankan Warga Ngadu ke Kelurahan Saja,Astaga! Sandiaga Sarankan Warga Ngadu ke Kelurahan Saja Tak Perlu ke Balai KotaÂ ,6775.jpg
7038,0,13-Jul-17,"Irina, Istri Ahli IT Hermansyah disebut Mantan PSK","Irina, Istri Ahli IT Hermansyah disebut Mantan PSK",7038.jpg
7214,0,8-Mar-17,"Nezar Patria adalah Kader PKI, Ikut Rapat Setiap Malam di Istana Setelah Jam 8 Malam, Demikian Tuduhan dari Alfian Tandjung","Nezar Patria adalah Kader PKI, Ikut Rapat Setiap Malam di Istana Setelah Jam 8 Malam, Demikian Tuduhan dari Alfian Tandjung",7214.jpg
13483,0,17-Jul-18,"Coach Indra Sjafri: Saya Pernah 1 Tahun Tak Digaji, tapi Ikhlas",Kendati sukses mengantarkan Timnas Indonesia U-19 juara Piala AFF U-19 2013 dan lolos ke putaran final Piala Asia U-19 2014,13483.png
13907,0,28-Apr-18,Kronologis Polisi Berondong Sedan Terobos Razia di Lubuklinggau,"Innalillahâ€¦ Hanya Karena Lalai Terobos Razia, Mobil Berisi Satu Keluarga Ditembaki Polisi, Satu Orang Tewas",13907.png
13931,0,26-Apr-18,Kemristekdikti: bukan undang dosen asing tapi profesor kelas dunia,"â€Bukan dosen asing, tapi profesor kelas dunia. Orang Indonesia pun bisa mengikuti program ini, asalkan dia mengajar di universitas di luar negeri dan mempunyai koneksi dengan peraih Nobel,â€ kata Direktur Jenderal Sumber Daya Iptek dan Dikti Kemristekdikti Ali Ghufron Mukti di Jakarta, Selasa",13931.png
15563,0,7-Feb-17,Surat C6 Sebagai Syarat Memberikan Hak Pilih Pada Pilkada DKI Jakarta,"Pengumuman penting soal Pilkada DKI 2017. Pemilih Wajib ambil surat C6 on 12 â€“ 13 Feb dgn pengurus RT. Apabila sampe 14 Feb surat C6 tidak diambil langsung pemilik, RT akan kembalikan ke KPU & warga DKI yg tidak milik C6 hanya bisa memilih jam 12.00 â€“ 13.00 saja! Bawa E-KTP, SuKet + KK asli. Jika lewat dari pk 13.00 Suara Anda Hangus! Tlg Sebarkan! Thank you",15563.jpg
19387,0,26-Jul-19,Bahaya Daging Kurban Dibungkus Kresek Hitam,"Yusuf Ridwan mengatakan, kantong plastik kresek berwarna hitam mengandung zat karsinogen dan zat pewarna yang bisa tercampur dengan daging. Akibat kontaminasi zat ini dapat menyebabkan kanker dalam waktu lama.Yusuf Ridwan mengatakan, kantong plastik kresek berwarna hitam mengandung zat karsinogen dan zat pewarna yang bisa tercampur dengan daging. Akibat kontaminasi zat ini dapat menyebabkan kanker dalam waktu lama.",19387.png
20112,0,22-Mar-19,Penjelasan terkait Video Truk Kontainer Bergambar Jokowi-Maruf Amin,Truk semi kontainer Paslon 01 ini kira-kira membawa apa ,20112.png
21364,0,4-Sep-18,Universitas Muhammadiyah Kupang Bantah Akan Menginisasi Gerakan #GantiPresiden2019,"Terkait salah satu dosennya menjadi insiator Gerakan #GantiPresiden2019 di Kabupaten Manggarai Barat, Nusa Tenggara Timur (NTT), pihak Universitas Muhammadiyah Kupang (UMK) membantah bahwa kampusnya terlibat dalam gerakan tersebut.",21364.jpg
